bookID,average_rating,isbn,authors,title
110,3.87,765353709,Frank Herbert,The Road to Dune 
112,3.92,441104029,Frank Herbert,Children of Dune 
117,3.85,441328008,Frank Herbert,Heretics of Dune 
122,4.35,034541005X,Bryce Courtenay,The Power of One 
123,4.35,385732546,Bryce Courtenay,The Power of One 
129,4.28,785260056,John C. Maxwell,The Power of One: One Person  One Rule  One Month
130,3.31,471780936,Dave Lakhani,Power of an Hour: Business and Life Mastery in One Hour a Week
131,3.79,325001537,Louis E. Catron,The Power of One: The Solo Play for Playwrights  Actors  and Directors
132,3.49,006076287X,Adam Ginsberg,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days
133,3.5,470045299,Marsha Collier,eBay for Dummies
135,3.62,72262788,Chris Malta,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond
137,3.52,764569244,Marsha Collier,Starting an eBay Business for Dummies
138,4.27,471933821,Julia Wilkinson,eBay: Top 100 Simplified Tips & Tricks
139,3.55,764559915,Marsha Collier,ebay Timesaving Techniques for Dummies
140,3.89,764584383,Marsha Collier,eBay Business All-in-One Desk Reference for Dummies
141,3.82,596523696,Lucas Carlson,Ruby Cookbook
142,4.09,806523492,Ruby Ann Boxcar,Ruby Ann's Down Home Trailer Park Cookbook
144,4.08,806525363,Ruby Ann Boxcar,Ruby Ann's Down Home Trailer Park BBQin' Cookbook
147,3.65,596527314,Rob Orsini,Rails Cookbook: Recipes for Rapid Web Development with Ruby
151,4.04,143035002,Leo Tolstoy,Anna Karenina
152,4.04,451528611,Leo Tolstoy,Anna Karenina
153,4.04,140449175,Leo Tolstoy,Anna Karenina
154,3.89,822001837,Marianne Sturman,CliffsNotes on Tolstoy's Anna Karenina
155,4.04,1593080271,Leo Tolstoy,Anna Karenina
156,4.04,486437965,Leo Tolstoy,Anna Karenina
157,4.04,1593081774,Leo Tolstoy,Anna Karenina
159,2.96,778322270,Gloria Goldreich,Dinner with Anna Karenina
160,4.19,521313252,Anthony Thorlby,Tolstoy: Anna Karenina
162,3.7,140183957,Mulk Raj Anand,Untouchable
163,3.96,679767479,John Banville,The Untouchable
164,3.89,1568491980,Eliot Ness,The Untouchables
165,3.82,743270797,Narendra Jadhav,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India
166,4.33,932863051,V.T. Rajshekar,Dalit: The Black Untaouchables of India
168,3.58,742508803,Vasant Moon,Growing Up Untouchable in India: A Dalit Autobiography
171,3.4,205358624,Barry R. Cournoyer,The Evidence-Based Social Work Skills Book
177,3.94,1557344035,John Carratello,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom"
180,3.99,380720442,George Smoot,Wrinkles in Time
181,4.01,821925326,Madeleine L'Engle,A Wrinkle in Time: With Related Readings 
182,3.57,043927169X,Tara MacCarthy,Literature Circle Guide: A Wrinkle in Time
201,4.01,606105263,Madeleine L'Engle,Una arruga en el tiempo – A Wrinkle in Time
204,4.11,751506435,Cynthia Harrod,The Long Shadow 
205,4.11,006078671X,Charles Todd,A Long Shadow 
207,3.94,743499344,Ewan McGregor,Long Way Round: Chasing Shadows Across the World
208,3.6,765313405,Daniel Abraham,A Shadow in Summer 
213,3.91,1400032490,Charles Willeford,New Hope for the Dead 
214,4.04,1400032482,Charles Willeford,Sideswipe: A Hoke Moseley Novel
216,3.94,1400032466,Charles Willeford,Miami Blues 
231,3.41,312424442,Tom Wolfe,I am Charlotte Simmons
237,3.9,806930772,Edward Lear,Poetry for Young People: Edward Lear
244,4.04,140366601,Quentin Blake,The Puffin Book of Nonsense Verse
245,4.23,811201120,Henry Miller,Henry Miller on Writing
247,3.69,080213016X,Henry Miller,Quiet Days in Clichy
249,3.69,802131786,Henry Miller,Tropic of Cancer
250,3.82,802151825,Henry Miller,Tropic of Capricorn
251,4.09,802151787,Henry Miller,Nexus 
252,4.04,802151809,Henry Miller,Sexus 
253,3.83,811201066,Henry Miller,The Air-Conditioned Nightmare
264,3.77,141439637,Henry James,The Portrait of a Lady
269,3.77,1593080964,Henry James,The Portrait of a Lady
275,3.75,375700528,Marguerite Duras,The Lover
278,3.85,1565842219,Marguerite Duras,The War
280,3.67,394743040,Marguerite Duras,The Ravishing of Lol Stein
281,3.68,080215154X,Marguerite Duras,Destroy  She Said
283,3.89,2070388093,Marguerite Duras,L'Amant de la Chine du Nord
285,3.67,1851681825,Kahlil Gibran,Love Letters
288,4.2,156656249X,Jean Gibran,Kahlil Gibran: His Life and World
289,4.19,014019553X,Kahlil Gibran,The Beloved: Reflections on the Path of the Heart
290,3.98,394431243,Kahlil Gibran,Jesus the Son of Man
291,3.92,806501901,Kahlil Gibran,The Broken Wings
292,4.08,067943920X,Kahlil Gibran,Sand and Foam
295,3.83,753453800,Robert Louis Stevenson,Treasure Island
296,3.83,1402714572,Robert Louis Stevenson,Treasure Island
297,3.83,1416500294,Robert Louis Stevenson,Treasure Island
298,3.83,689854684,Robert Louis Stevenson,Treasure Island
299,3.83,517221144,Robert Louis Stevenson,Treasure Island
302,4.04,1577658051,Deidre S. Laiken,Treasure Island 
304,3.83,037576013X,George Eliot,Daniel Deronda
313,4.63,933121180,Ralph Ginzburg,100 Years of Lynchings
320,4.06,60531045,Gabriel García Márquez,One Hundred Years of Solitude
324,4.06,785950109,Gabriel García Márquez,Cien años de soledad
325,4.06,8423919005,Gabriel García Márquez,Cien años de soledad
330,4.04,394800842,Dr. Seuss,On Beyond Zebra!
332,3.58,821778250,Debbie Raleigh,The Wedding Clause
333,3.46,60733039,Kevin Henkes,The Zebra Wall
337,4.02,8432216062,Patrick Süskind,El perfume: Historia de un asesino
338,4.24,553348981,Tom Robbins,Jitterbug Perfume
343,4.02,140120831,Patrick Süskind,Perfume: The Story of a Murderer
347,4.01,1582881847,Robert A. Heinlein,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein
348,4.01,345413997,Robert A. Heinlein,The Door Into Summer
349,4.17,312863551,Robert A. Heinlein,The Moon is a Harsh Mistress
350,3.92,441788386,Robert A. Heinlein,Stranger in a Strange Land
352,4.07,074348844X,Robert A. Heinlein,The Notebooks of Lazarus Long
354,3.87,441748600,Robert A. Heinlein,To Sail Beyond the Sunset
355,3.78,345316509,Robert A. Heinlein,Job: A Comedy of Justice
356,3.97,765314932,Robert A. Heinlein,Time for the Stars 
357,4.06,671742515,Douglas Adams,The Long Dark Tea-Time of the Soul 
359,3.92,345455290,Douglas Adams,The Salmon of Doubt 
360,3.97,345418778,Douglas Adams,Mostly Harmless 
362,4.14,345476514,Nick  Webb,Wish You Were Here: The Official Biography of Douglas Adams
367,3.6,345368436,Terry Jones,Douglas Adams's Starship Titanic
377,3.92,1417622857,Douglas Adams,Salmon of Doubt: Hitchhiking the Galaxy One Last Time
378,4.21,394820371,Norton Juster,The Phantom Tollbooth
382,4.1,573650969,Susan Nanus,The Phantom Tollbooth: A Children's Play in Two Acts
385,3.57,691122946,Harry G. Frankfurt,On Bullshit
386,3.78,393329402,Nick Flynn,Another Bullshit Night in Suck City
394,4.13,671867423,Garry Wills,Lincoln at Gettysburg: The Words That Remade America
397,4.53,395883970,Abraham Lincoln,The Gettysburg Address
399,3.92,684848155,Don DeLillo,Underworld
400,3.99,140156046,Don DeLillo,Libra
402,3.68,140152741,Don DeLillo,Mao II
403,3.43,140119485,Don DeLillo,Americana
404,3.42,679722947,Don DeLillo,Running Dog
406,3.22,743244257,Don DeLillo,Cosmopolis
407,3.48,140179178,Don DeLillo,Great Jones Street
408,3.64,679722955,Don DeLillo,The Names
409,4.12,159420120X,Thomas Pynchon,Against the Day
410,3.96,60930217,Thomas Pynchon,V.
411,3.7,60931671,Thomas Pynchon,The Crying of Lot 49
412,4.02,140283382,Thomas Pynchon,Gravity's Rainbow
413,4.06,312423209,Thomas Pynchon,Mason & Dixon
414,3.68,141180633,Thomas Pynchon,Vineland
415,4.02,143039946,Thomas Pynchon,Gravity's Rainbow
416,3.5,316724432,Thomas Pynchon,Slow Learner: Early Stories
418,3.81,140189300,Richard Fariña,Been Down So Long It Looks Like Up To Me
420,3.88,140004314X,Joan Didion,The Year of Magical Thinking
421,4.17,374522219,Joan Didion,The White Album
422,3.8,679754865,Joan Didion,A Book of Common Prayer
423,3.86,679752862,Joan Didion,Where I Was From
425,3.81,679754857,Joan Didion,Democracy
426,4.49,307264874,Joan Didion,We Tell Ourselves Stories in Order to Live: Collected Nonfiction
428,3.87,374529949,Joan Didion,Play It as It Lays
431,3.9,143039830,Paul Auster,The New York Trilogy
432,3.79,140097317,Paul Auster,City of Glass 
434,3.65,014009735X,Paul Auster,Ghosts 
435,3.89,940650762,Paul Auster,The Locked Room 
444,3.91,963188925,Peter Moon,Pyramids of Montauk: Explorations in Consciousness
446,3.83,312426232,Paul Auster,The Brooklyn Follies
447,3.98,140115854,Paul Auster,Moon Palace
449,3.68,312263996,Paul Auster,Timbuktu
450,3.92,038077108X,Paul Karasik,Neon Lit: Paul Auster's City of Glass
453,3.9,140154078,Paul Auster,The Music of Chance
454,3.23,805081453,Paul Auster,Travels in the Scriptorium
456,3.95,140178139,Paul Auster,Leviathan
463,3.77,811214982,Paul Auster,The Red Notebook: True Stories
466,4.4,2742741461,Paul Auster,Timbuktu / Leviathan / Moon Palace
472,3.77,1886224145,Paul Auster,Why Write?
475,3.93,143036556,Jared Diamond,Collapse: How Societies Choose to Fail or Succeed
476,3.39,446579785,Stephen Leeb,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel
477,4.13,052138673X,Joseph A. Tainter,Collapse of Complex Societies
478,3.79,743203046,Robert D. Putnam,Bowling Alone: The Collapse and Revival of American Community
481,3.92,034543871X,Philip K. Howard,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom
484,4.39,393318281,Joy Harjo,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America
493,4.01,1599869942,Nikola Tesla,My Inventions
494,3.77,806519606,Marc J.  Seifer,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius
497,3.95,822549204,Carol Dommermuth,Nikola Tesla: A Spark of Genius
498,4.12,932813860,Nikola Tesla,Tesla Papers
505,3.96,521437733,Eric Hobsbawm,The Invention of Tradition
511,3.77,373792689,Julie Elizabeth Leto,Boys of Summer
515,4.04,974514055,Dave Thomas,Programming Ruby: The Pragmatic Programmers' Guide
523,3.92,764585975,Maureen Kelly,Golding's Lord of the Flies 
524,3.67,307281701,William Golding,Lord of the Flies
525,3.67,399529209,William Golding,Lord of the Flies
531,4.11,812969707,Victor Davis Hanson,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War
534,4.15,60255080,Ephraim Sevela,We Were Not Like Other People
537,3.79,330485385,Alice Sebold,The Lovely Bones
538,3.79,159413023X,Alice Sebold,The Lovely Bones
539,3.81,345360354,Sharyn McCrumb,Lovely in Her Bones 
565,4,321303474,Dave Shea,The Zen of CSS Design: Visual Enlightenment for the Web
570,3.8,321430840,Elizabeth Castro,HTML  XHTML  and CSS 
576,3.84,3822840858,Michael Ochs,1000 Record Covers
597,3.83,743264460,Chuck Klosterman,Killing Yourself to Live: 85% of a True Story
599,3.74,743236017,Chuck Klosterman,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto
604,3.77,965762645,Eric Schlosser,Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market
619,3.51,553572490,Jane Feather,Vice 
629,3.77,60589469,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
639,4.08,802789471,Kevin O'Malley,Once Upon a Cool Motorcycle Dude
642,3.72,688060692,Ronald L. DiSanto,Guidebook to Zen and the Art of Motorcycle Maintenance
643,3.83,185960515X,John Harold Haynes,Motorcycle Basics Techbook
650,3.96,1592530877,Catharine M. Fishel,LOGO Lounge: 2 000 International Identities by Leading Designers
655,4.1,451528808,Leo Tolstoy,The Death of Ivan Ilych And Other Stories
656,4.11,192833987,Leo Tolstoy,War and Peace
658,4.13,486451380,Leo Tolstoy,The Kingdom of God Is Within You
661,3.65,340837489,Brian Herbert,Hunters Of Dune 
662,3.68,452011876,Ayn Rand,Atlas Shrugged
663,3.68,451163087,Ayn Rand,For the New Intellectual: The Philosophy of Ayn Rand
664,3.86,452286751,Ayn Rand,The Fountainhead
665,3.5,451163931,Ayn Rand,The Virtue of Selfishness: A New Concept of Egoism
667,3.63,452281253,Ayn Rand,Anthem
668,3.91,451187849,Ayn Rand,We the Living
669,3.87,451147952,Ayn Rand,Capitalism: The Unknown Ideal
670,3.97,452274044,Ayn Rand,Letters of Ayn Rand
672,3.94,471791431,J.J. Isler,Sailing for Dummies
675,3.87,553803816,Colin  Wells,Sailing from Byzantium: How a Lost Empire Shaped the World
676,4.23,375755195,Billy Collins,Sailing Alone Around the Room: New and Selected Poems
678,3.63,1592283195,Christopher Caswell,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories
681,3.08,975599518,Kevin Trudeau,"Natural Cures ""They"" Don't Want You to Know about"
685,3.63,374502005,Bernard Malamud,The Natural
698,3.55,307263940,Anne Tyler,Digging to America
700,3.77,312405545,Gary Colombo,Rereading America: Cultural Contexts for Critical Thinking and Writing
702,3.59,019517013X,Thomas E. Skidmore,Modern Latin America
703,3.75,1400079497,Philip Roth,The Plot Against America
706,4.02,713998946,Jon Stewart,America 
707,3.59,688171621,Jon Stewart,Naked Pictures of Famous People
759,4.19,60932686,Gabriel García Márquez,Collected Stories
762,3.96,1400034957,Gabriel García Márquez,Crónica de una muerte anunciada
763,4.06,307350428,Gabriel García Márquez,Cien años de soledad
764,3.98,307350444,Gabriel García Márquez,Del amor y otros demonios
765,3.98,140003454X,Gabriel García Márquez,Living to Tell the Tale
766,3.59,1400095808,Gabriel García Márquez,Memoria de mis putas tristes
771,4.07,375708111,Brian Greene,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory
775,4.38,086171492X,Upasika Kee Nanayon,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman
787,3.75,184353584X,Rob Humphreys,The Mini Rough Guide to London
792,4.03,1740598318,Lonely Planet,London: City Guide 
793,4.09,1740594770,Lonely Planet,Best of London 
794,4.03,186450353X,Lonely Planet,London
797,4.03,8408064762,Lonely Planet,Lonely Planet Londres
799,0,1740592050,Lonely Planet,Out to Eat London 2002 
815,3.87,618710531,H.G. Bissinger,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager
816,4.25,60512806,Neal Stephenson,Cryptonomicon
820,4.13,2228894699,Neal Stephenson,Golgotha 
821,4.11,2228894168,Neal Stephenson,Le Réseau Kinakuta 
822,4.25,60733357,Neal Stephenson,The Confusion 
823,3.93,60593083,Neal Stephenson,Quicksilver 
824,3.61,553383442,Neal Stephenson,The Cobweb
825,3.71,553573861,Neal Stephenson,Zodiac
826,3.25,380816032,Neal Stephenson,The Big U
827,4.19,553380966,Neal Stephenson,The Diamond Age: Or  A Young Lady's Illustrated Primer
828,3.67,553383434,Neal Stephenson,Interface
829,4.2,60833181,Neal Stephenson,Odalisque 
830,4.03,553380958,Neal Stephenson,Snow Crash
831,4.03,344245302X,Neal Stephenson,Snow Crash
834,4.15,1880685353,Dan Harrington,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame
835,4.23,1880685337,Dan Harrington,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play
840,4.19,465067107,Donald A. Norman,The Design of Everyday Things
841,3.94,465051367,Donald A. Norman,Emotional Design: Why We Love 
842,4.19,465067093,Donald A. Norman,The Psychology of Everyday Things
848,4.26,898709199,Alex C. Jones,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson
864,3.85,60887966,Paulo Coelho,The Alchemist
865,3.85,61122416,Paulo Coelho,The Alchemist
866,4.57,142150460X,Hiromu Arakawa,Fullmetal Alchemist  Vol. 9 
868,4.56,1591169259,Hiromu Arakawa,Fullmetal Alchemist  Vol. 3 
869,4.57,1421504596,Hiromu Arakawa,Fullmetal Alchemist  Vol. 8 
870,4.49,1591169208,Hiromu Arakawa,Fullmetal Alchemist  Vol. 1 
871,4.55,1591169291,Hiromu Arakawa,Fullmetal Alchemist  Vol. 4 
872,3.85,006019250X,Paulo Coelho,The Illustrated Alchemist: A Fable about Following Your Dream
873,4.52,1591169232,Hiromu Arakawa,Fullmetal Alchemist  Vol. 2 
874,4.28,747588945,Khaled Hosseini,The Kite Runner
880,3.81,812974611,Robert   Harris,Pompeii
888,3.59,158715739X,Edward Bulwer,The Last Days of Pompeii
890,3.86,142000671,John Steinbeck,Of Mice and Men
899,3.86,582461464,John Steinbeck,Of Mice and Men
900,3.74,60554738,Neil Strauss,The Game: Penetrating the Secret Society of Pickup Artists
902,4.02,014240120X,Ellen Raskin,The Westing Game
903,3.82,808553038,Zilpha Keatley Snyder,The Egypt Game
929,4.1,1400096898,Arthur Golden,Memoirs of a Geisha
930,4.1,739326228,Arthur Golden,Memoirs of a Geisha
931,4.1,99498189,Arthur Golden,Memoirs of a Geisha
932,4.08,1557046832,David        James,Memoirs of a Geisha: A Portrait of the Film
933,4.1,99771519,Arthur Golden,Memoirs of a Geisha
935,3.93,074343059X,Mineko Iwasaki,Geisha of Gion
936,4.1,7229577,Arthur Golden,Memoirs Of A Geisha
941,3.44,1932664394,J. Torres,Love As A Foreign Language #5
944,3.37,521750849,Margaret Johnson,Jungle Love
947,3.74,373510055,Nora Roberts,First Impressions
955,4.71,802415318,Gary Chapman,The 5 Love Languages / The 5 Love Languages Journal
960,3.88,1416524797,Dan Brown,Angels & Demons 
965,3.88,849561877X,Dan Brown,Ángeles y demonios 
966,3.88,972859896,Dan Brown,Angeles & Demonios
968,3.82,307277674,Dan Brown,The Da Vinci Code 
969,3.82,076792603X,Dan Brown,The Da Vinci Code
972,3.82,2266144340,Dan Brown,Da Vinci Code 
975,3.7,1416524800,Dan Brown,Deception Point
976,3.7,671027387,Dan Brown,Deception Point
977,3.7,552151769,Dan Brown,Deception Point
980,3.7,593055071,Dan Brown,Deception Point
981,3.7,9953299072,Dan Brown,حقيقة الخديعة
983,3.7,1416524886,Dan Brown,Deception Point
987,4.04,078601606X,P.J. Parrish,A Killing Rain 
991,3.82,743409159,V.C. Andrews,Eye of the Storm 
998,4.02,671015206,Thomas J. Stanley,The Millionaire Next Door: The Surprising Secrets of America's Wealthy
1005,4.18,1585424331,Napoleon Hill,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century
1007,4.18,1932429239,Napoleon Hill,Think and Grow Rich
1014,3.57,977616657,Mike   Mason,Pragmatic Version Control: Using Subversion 
1022,3.95,1563410907,Riki Anne Wilchins,Read My Lips: Sexual Subversion and the End of Gender
1032,3.65,345479173,Donald J. Trump,Trump: The Art of the Deal
1052,4.25,451205367,George S. Clason,The Richest Man in Babylon
1053,4.25,1419349996,George S. Clason,The Richest Man in Babylon
1059,4.22,1400098033,Trevanian,Shibumi
1067,4.07,743226720,David McCullough,1776
1068,4.21,140481397,Peter  Stone,1776
1073,3.6,226014908,Robert J. Allison,The Crescent Obscured: The United States and the Muslim World  1776-1815
1077,3.73,1565122429,Robert Morgan,Gap Creek
1078,3.98,1416500189,Pearl S. Buck,The Good Earth 
1083,3.98,671823493,Pearl S. Buck,The Good Earth
1090,3.92,310258979,Rick Warren,Purpose Driven Life - For Commuters: What on Earth Am I Here For?
1093,3.92,310264138,Rick Warren,Purpose Driven Life
1097,3.74,60838582,Eric Schlosser,Fast Food Nation: The Dark Side of the All-American Meal
1099,3.74,141006870,Eric Schlosser,Fast Food Nation: What The All-American Meal is Doing to the World
1103,4.07,812968069,Lisa See,Snow Flower and the Secret Fan
1110,3.78,385340540,John Grisham,The Broker
1111,4.5,394720245,Robert A. Caro,The Power Broker: Robert Moses and the Fall of New York
1117,3.73,345480600,Stephen W. Frey,The Power Broker: A Novel 
1120,3.73,60193395,Bill Phillips,Body For Life: 12 Weeks to Mental and Physical Strength
1121,3.63,1579546013,Pamela Peeke,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation
1123,3.95,972018417,Bill Phillips,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!
1130,4.12,471743674,Robert G. Hagstrom,The Warren Buffett Way
1138,4.05,471430455,Robert P. Miles,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers
1164,3.16,805431578,Marvin N. Olasky,Monkey Business: True Story of the Scopes Trial
1167,3.98,679838864,Barbara Park,Junie B. Jones and a Little Monkey Business 
1169,3.66,373250711,Sarah Mlynowski,Monkey Business
1171,4.15,140143459,Michael   Lewis,Liar's Poker
1177,3.31,802732291,Frank McConnell,Liar's Poker: A Harry Garnish Mystery
1191,3.96,030723827X,Giada De Laurentiis,Giada's Family Dinners
1192,3.95,1400052580,Giada De Laurentiis,Everyday Italian: 125 Simple and Delicious Recipes
1193,4.09,307346587,Giada De Laurentiis,Everyday Pasta
1196,4.1,1400052386,Tyler Florence,Tyler's Ultimate: Brilliant Simple Food to Make Any Time
1197,4.05,609609971,Tyler Florence,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook
1198,3.92,1400052378,Tyler Florence,Eat This Book: Cooking with Global Fresh Flavors
1202,3.96,61234001,Steven D. Levitt,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
1204,3.96,8466625127,Steven D. Levitt,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta
1206,3.96,61245135,Steven D. Levitt,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
1207,3.96,9722334964,Steven D. Levitt,Freakonomics  - O Estranho Mundo da Economia
1217,3.93,739455354,Jared Diamond,Collapse
1218,4.25,399153594,Barry Eisler,The Last Assassin 
1226,3.9,156030209,Yann Martel,Life of Pi
1227,3.9,8423335127,Yann Martel,Vida de Pi
1230,3.9,828808392,Yann Martel,L'Histoire de Pi
1232,4.26,143034901,Carlos Ruiz Zafón,The Shadow of the Wind 
1234,3.48,140285970,Robert Templer,Shadows and Wind: A View of Modern Vietnam
1239,3.48,316646660,Robert Templer,Shadows and Wind: A View of Modern Vietnam
1241,3.63,307276902,James Frey,A Million Little Pieces
1242,3.55,1411677315,Python Bonkers,A Million Little Pieces of Feces
1243,3.4,61171468,James Pinocchio,A Million Little Lies
